taxonomy_version,ProjectLawId,ParliamentDocumentContentId,Legislature,parent_topic_slug,parent_topic_label,subtopic_slug,subtopic_label,assignment_method,assignment_status,assignment_confidence,cluster_id,cluster_probability,is_seed_assignment
taxonomy_v2,11,12,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,educacao_inclusiva_e_apoio_a_alunos_com_necessidades_especiais,Educação inclusiva e apoio a alunos com necessidades especiais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,29,1.0,True
taxonomy_v2,12,13,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",combate_a_violencia_domestica_e_discriminacao,Combate à violência doméstica e discriminação,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,23,1.0,True
taxonomy_v2,13,14,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.3159414217075802,70,0.3159414217075802,True
taxonomy_v2,14,15,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,81,1.0,True
taxonomy_v2,15,4418,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",reformas_do_codigo_do_trabalho_e_direitos_laborais,Reformas do Código do Trabalho e Direitos Laborais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,56,1.0,True
taxonomy_v2,16,17,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",implementacao_da_lei_de_bases_do_clima_e_metas_de_reducao_de_emissoes,Implementação da Lei de Bases do Clima e Metas de Redução de Emissões,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,59,1.0,True
taxonomy_v2,17,4222,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,carreira_e_progressao_dos_docentes,Carreira e progressão dos docentes,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,21,1.0,True
taxonomy_v2,18,19,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",alteracoes_gerais_ao_codigo_do_irs,Alterações gerais ao Código do IRS,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,95,1.0,True
taxonomy_v2,19,20,XVII,politica_externa_e_relacoes_internacionais,Política Externa e Relações Internacionais,reconhecimento_do_estado_da_palestina_e_apoio_a_paz_no_medio_oriente,Reconhecimento do Estado da Palestina e apoio à paz no Médio Oriente,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,4,1.0,True
taxonomy_v2,20,21,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",politicas_para_pessoas_idosas,Políticas para pessoas idosas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,11,1.0,True
taxonomy_v2,21,22,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.48593334075169337,82,0.48593334075169337,True
taxonomy_v2,22,23,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,noise_centroid_auto_assignment,auto_assigned,0.8005732893943787,-1,0.0,True
taxonomy_v2,23,24,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,carreira_e_progressao_dos_docentes,Carreira e progressão dos docentes,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8786307781965705,21,0.8786307781965705,True
taxonomy_v2,24,25,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.48789456869683384,81,0.48789456869683384,True
taxonomy_v2,25,26,XVII,politica_externa_e_relacoes_internacionais,Política Externa e Relações Internacionais,reconhecimento_do_estado_da_palestina_e_apoio_a_paz_no_medio_oriente,Reconhecimento do Estado da Palestina e apoio à paz no Médio Oriente,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,4,1.0,True
taxonomy_v2,26,27,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,carreira_e_progressao_dos_docentes,Carreira e progressão dos docentes,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.9052048749963882,21,0.9052048749963882,True
taxonomy_v2,27,28,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",aumento_do_salario_minimo_nacional,Aumento do salário mínimo nacional,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,8,1.0,True
taxonomy_v2,28,29,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",pagamentos_em_atraso_e_compromissos_do_estado,Pagamentos em atraso e compromissos do Estado,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,90,1.0,True
taxonomy_v2,29,30,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7933223843574524,-1,0.0,True
taxonomy_v2,30,31,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,70,1.0,True
taxonomy_v2,31,32,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",doencas_femininas_e_dadiva_de_sangue,Doenças femininas e dádiva de sangue,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,24,1.0,True
taxonomy_v2,32,33,XVII,transportes_e_mobilidade,Transportes e Mobilidade,subsidio_social_de_mobilidade_e_transporte_regional,Subsídio Social de Mobilidade e Transporte Regional,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8167910039983078,58,0.8167910039983078,True
taxonomy_v2,33,34,XVII,transportes_e_mobilidade,Transportes e Mobilidade,subsidio_social_de_mobilidade_e_transporte_regional,Subsídio Social de Mobilidade e Transporte Regional,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8167910039983078,58,0.8167910039983078,True
taxonomy_v2,34,35,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,educacao_inclusiva_e_apoio_a_alunos_com_necessidades_especiais,Educação inclusiva e apoio a alunos com necessidades especiais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,29,1.0,True
taxonomy_v2,35,36,XVII,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,financiamento_e_gestao_financeira_das_autarquias,Financiamento e gestão financeira das autarquias,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.9510564621297292,98,0.9510564621297292,True
taxonomy_v2,36,37,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,70,1.0,True
taxonomy_v2,37,38,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",apoio_a_agricultores_e_recuperacao_pos_tempestades,Apoio a Agricultores e Recuperação Pós-Tempestades,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,70,1.0,True
taxonomy_v2,38,4426,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",combate_a_violencia_domestica_e_discriminacao,Combate à violência doméstica e discriminação,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,23,1.0,True
taxonomy_v2,39,4677,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",regulacao_e_controlo_dos_precos_dos_combustiveis,Regulação e Controlo dos Preços dos Combustíveis,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.3529854143077939,67,0.3529854143077939,True
taxonomy_v2,40,41,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_ambiental_e_valorizacao_de_espacos_verdes_municipais,Proteção ambiental e valorização de espaços verdes municipais,noise_centroid_auto_assignment,auto_assigned,0.8253581523895264,-1,0.0,True
taxonomy_v2,41,4678,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",producao_agricola_sustentavel_e_protecao_ambiental,Produção Agrícola Sustentável e Proteção Ambiental,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.9050788501731067,68,0.9050788501731067,True
taxonomy_v2,42,43,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",combate_a_violencia_domestica_e_discriminacao,Combate à violência doméstica e discriminação,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,23,1.0,True
taxonomy_v2,43,44,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",politicas_para_pessoas_idosas,Políticas para pessoas idosas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,11,1.0,True
taxonomy_v2,44,45,XVII,transportes_e_mobilidade,Transportes e Mobilidade,subsidio_social_de_mobilidade_e_transporte_regional,Subsídio Social de Mobilidade e Transporte Regional,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8167910039983078,58,0.8167910039983078,True
taxonomy_v2,45,46,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",valorizacao_e_condicoes_dos_funcionarios_judiciais,Valorização e condições dos funcionários judiciais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.6313383692188685,31,0.6313383692188685,True
taxonomy_v2,46,4633,XVII,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,descentralizacao_e_regionalizacao_dos_servicos_publicos,Descentralização e regionalização dos serviços públicos,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,54,1.0,True
taxonomy_v2,47,4347,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",doencas_femininas_e_dadiva_de_sangue,Doenças femininas e dádiva de sangue,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,24,1.0,True
taxonomy_v2,48,4351,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",condicoes_laborais_e_valorizacao_das_forcas_de_seguranca_e_militares,Condições laborais e valorização das forças de segurança e militares,noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7871796488761902,-1,0.0,True
taxonomy_v2,49,4448,XVII,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",regulacao_do_uso_do_solo_e_ordenamento_territorial_urbano,Regulação do uso do solo e ordenamento territorial urbano,noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7835137248039246,-1,0.0,True
taxonomy_v2,50,4253,XVII,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",mobilizacao_de_patrimonio_publico_para_habitacao,Mobilização de património público para habitação,noise_near_threshold_user_accepted,manual_reviewed_assigned,0.7488310933113098,-1,0.0,True
taxonomy_v2,51,4261,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",protecao_e_bem_estar_animal,Proteção e bem-estar animal,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.7630481262026263,26,0.7630481262026263,True
taxonomy_v2,52,4256,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",contribuicoes_e_beneficios_dos_subsistemas_de_saude_para_militares,Contribuições e benefícios dos subsistemas de saúde para militares,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.4396288582834389,73,0.4396288582834389,True
taxonomy_v2,53,4567,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",condicoes_laborais_e_valorizacao_das_forcas_de_seguranca_e_militares,Condições laborais e valorização das forças de segurança e militares,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,78,1.0,True
taxonomy_v2,54,4236,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,financiamento_e_acesso_as_refeicoes_escolares,Financiamento e acesso às refeições escolares,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,14,1.0,True
taxonomy_v2,55,4458,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",cuidados_continuados_integrados,Cuidados continuados integrados,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.5150463290507106,10,0.5150463290507106,True
taxonomy_v2,56,4450,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",igualdade_de_genero_e_combate_a_discriminacao_salarial,Igualdade de género e combate à discriminação salarial,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,18,1.0,True
taxonomy_v2,57,4459,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",cuidados_continuados_integrados,Cuidados continuados integrados,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.5150463290507106,10,0.5150463290507106,True
taxonomy_v2,58,59,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",protecao_e_apoio_a_vitimas_de_violencia_domestica,Proteção e apoio a vítimas de violência doméstica,noise_near_threshold_user_accepted,manual_reviewed_assigned,0.7423174381256104,-1,0.0,True
taxonomy_v2,59,4477,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",politicas_de_emprego_e_compensacao_salarial,Políticas de emprego e compensação salarial,taxonomy_manual_final_pass,manual_reviewed_assigned,0.7274686098098755,-1,0.0,True
taxonomy_v2,60,4436,XVII,educacao_e_inclusao_social,Educação e Inclusão Social,financiamento_e_acesso_as_refeicoes_escolares,Financiamento e acesso às refeições escolares,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,14,1.0,True
taxonomy_v2,61,4354,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",regulacao_e_controlo_dos_precos_dos_combustiveis,Regulação e Controlo dos Preços dos Combustíveis,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.3529854143077939,67,0.3529854143077939,True
taxonomy_v2,62,63,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",crimes_sexuais_e_protecao_das_vitimas,Crimes sexuais e proteção das vítimas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.597016838383105,22,0.597016838383105,True
taxonomy_v2,63,4642,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",doencas_cronicas_e_comparticipacao_de_tratamentos,Doenças crónicas e comparticipação de tratamentos,noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7792624831199646,-1,0.0,True
taxonomy_v2,64,65,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",alteracoes_ao_codigo_de_processo_penal_e_medidas_penais,Alterações ao Código de Processo Penal e medidas penais,noise_centroid_auto_assignment,auto_assigned,0.8291488885879517,-1,0.0,True
taxonomy_v2,65,66,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.559321840039334,35,0.559321840039334,True
taxonomy_v2,66,4461,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",crimes_sexuais_e_protecao_das_vitimas,Crimes sexuais e proteção das vítimas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.37938911329070546,22,0.37938911329070546,True
taxonomy_v2,67,68,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8649700301283552,35,0.8649700301283552,True
taxonomy_v2,68,69,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",licenca_parental_e_direitos_de_maternidade_paternidade,Licença parental e direitos de maternidade/paternidade,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,38,1.0,True
taxonomy_v2,69,4363,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",regulacao_e_organizacao_das_associacoes_profissionais,Regulação e organização das associações profissionais,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.32405686306938114,72,0.32405686306938114,True
taxonomy_v2,70,4272,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",condicoes_laborais_e_valorizacao_das_forcas_de_seguranca_e_militares,Condições laborais e valorização das forças de segurança e militares,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.7749723828358386,78,0.7749723828358386,True
taxonomy_v2,71,4579,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",combate_a_violencia_domestica_e_discriminacao,Combate à violência doméstica e discriminação,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.29635618431372396,23,0.29635618431372396,True
taxonomy_v2,72,73,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",alteracoes_gerais_ao_codigo_do_irs,Alterações gerais ao Código do IRS,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,95,1.0,True
taxonomy_v2,73,4282,XVII,ambiente_energia_e_agricultura_sustentavel,"Ambiente, Energia e Agricultura Sustentável",comunidades_de_energia_renovavel_e_pobreza_energetica,Comunidades de Energia Renovável e Pobreza Energética,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.7204304307824663,61,0.7204304307824663,True
taxonomy_v2,74,75,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",acessibilidade_certificacao_e_direitos_das_pessoas_com_deficiencia,"Acessibilidade, certificação e direitos das pessoas com deficiência",noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.782117486000061,-1,0.0,True
taxonomy_v2,75,76,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",reformas_e_funcionamento_dos_tribunais_administrativos,Reformas e funcionamento dos tribunais administrativos,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8370859452486153,83,0.8370859452486153,True
taxonomy_v2,76,77,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",crimes_sexuais_e_protecao_das_vitimas,Crimes sexuais e proteção das vítimas,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,22,1.0,True
taxonomy_v2,77,4285,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",acessibilidade_certificacao_e_direitos_das_pessoas_com_deficiencia,"Acessibilidade, certificação e direitos das pessoas com deficiência",noise_centroid_auto_assignment,auto_assigned,0.8240340948104858,-1,0.0,True
taxonomy_v2,78,4359,XVII,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,descentralizacao_e_regionalizacao_dos_servicos_publicos,Descentralização e regionalização dos serviços públicos,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,54,1.0,True
taxonomy_v2,79,80,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",valorizacao_e_direitos_dos_bombeiros_e_sapadores,Valorização e direitos dos bombeiros e sapadores,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,5,1.0,True
taxonomy_v2,80,4270,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",valorizacao_e_direitos_dos_bombeiros_e_sapadores,Valorização e direitos dos bombeiros e sapadores,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,5,1.0,True
taxonomy_v2,81,4370,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",comportamentos_aditivos_jogo_e_substancias_controladas,"Comportamentos aditivos, jogo e substâncias controladas",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,50,1.0,True
taxonomy_v2,82,83,XVII,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",alteracoes_gerais_ao_codigo_do_irs,Alterações gerais ao Código do IRS,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.6389474307685614,95,0.6389474307685614,True
taxonomy_v2,83,84,XVII,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",medidas_fiscais_para_habitacao_propria,Medidas fiscais para habitação própria,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.6560599804076499,97,0.6560599804076499,True
taxonomy_v2,84,85,XVII,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,35,1.0,True
taxonomy_v2,85,86,XVII,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",regulacao_do_uso_do_solo_e_ordenamento_territorial_urbano,Regulação do uso do solo e ordenamento territorial urbano,noise_microcluster_manual_reviewed,manual_reviewed_assigned,0.7919400334358215,-1,0.0,True
taxonomy_v2,86,87,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",valorizacao_e_condicoes_dos_profissionais_de_saude_no_sns,Valorização e condições dos profissionais de saúde no SNS,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.586885593748987,37,0.586885593748987,True
taxonomy_v2,87,88,XVII,administracao_territorial_e_organizacao_local,Administração Territorial e Organização Local,financiamento_e_gestao_financeira_das_autarquias,Financiamento e gestão financeira das autarquias,noise_centroid_auto_assignment,auto_assigned,0.823447048664093,-1,0.0,True
taxonomy_v2,88,89,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",valorizacao_e_direitos_dos_bombeiros_e_sapadores,Valorização e direitos dos bombeiros e sapadores,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,5,1.0,True
taxonomy_v2,89,4369,XVII,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",comportamentos_aditivos_jogo_e_substancias_controladas,"Comportamentos aditivos, jogo e substâncias controladas",hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,50,1.0,True
taxonomy_v2,90,91,XVII,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",protecao_e_apoio_a_vitimas_de_violencia_domestica,Proteção e apoio a vítimas de violência doméstica,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,0.8494897996921688,33,0.8494897996921688,True
taxonomy_v2,91,92,XVII,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",valorizacao_e_direitos_dos_bombeiros_e_sapadores,Valorização e direitos dos bombeiros e sapadores,hdbscan_cluster_human_reviewed_taxonomy,accepted_cluster,1.0,5,1.0,True
