taxonomy_version,level,slug,label,parent_slug,description,display_order,source_cluster_ids
taxonomy_v2,subtopic,integracao_e_carreira_na_administracao_publica,Integração e carreira na administração pública,educacao_e_inclusao_social,"Propostas que tratam da integração de trabalhadores, requalificação, carreira e condições laborais na administração pública.",,42
taxonomy_v2,subtopic,rede_publica_de_creches_e_educacao_infantil,Rede pública de creches e educação infantil,educacao_e_inclusao_social,Propostas para criação e expansão de redes públicas de creches garantindo acesso e qualidade na educação infantil.,,13
taxonomy_v2,subtopic,regime_juridico_e_gestao_das_instituicoes_de_ensino_superior,Regime jurídico e gestão das instituições de ensino superior,educacao_e_inclusao_social,"Propostas que alteram o regime jurídico das instituições de ensino superior, incluindo gestão democrática, estatutos e organização interna.",,47
taxonomy_v2,subtopic,requalificacao_e_obras_em_escolas_basicas_e_secundarias,Requalificação e obras em escolas básicas e secundárias,educacao_e_inclusao_social,"Propostas que recomendam ou solicitam obras de requalificação, reabilitação e melhoria das condições físicas de escolas básicas e secundárias.",,6
taxonomy_v2,subtopic,saude_mental_em_escolas_e_ensino_superior,Saúde mental em escolas e ensino superior,educacao_e_inclusao_social,"Propostas para criação de serviços de psicologia nas escolas e ensino superior, além de linhas de apoio para saúde mental.",,15
taxonomy_v2,topic,financas_publicas_fiscalidade_e_regulacao_financeira,"Finanças Públicas, Fiscalidade e Regulação Financeira",,,4,"48,49,60,66,67,89,90,92,93,94,95,96,99"
taxonomy_v2,subtopic,alteracoes_gerais_ao_codigo_do_irs,Alterações gerais ao Código do IRS,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que alteram o Código do Imposto sobre o Rendimento das Pessoas Singulares, incluindo escalões, deduções e regimes fiscais.",,95
taxonomy_v2,subtopic,analise_e_recomendacoes_ao_programa_de_estabilidade_orcamental,Análise e Recomendações ao Programa de Estabilidade Orçamental,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que discutem, rejeitam ou recomendam alterações ao Programa de Estabilidade, abordando crescimento, investimento e políticas fiscais.",,60
taxonomy_v2,subtopic,deducoes_fiscais_para_dependentes_no_irs,Deduções fiscais para dependentes no IRS,financas_publicas_fiscalidade_e_regulacao_financeira,Propostas que visam reforçar deduções e benefícios fiscais relacionados com dependentes e famílias no âmbito do IRS.,,94
taxonomy_v2,subtopic,financiamento_e_beneficios_fiscais_dos_partidos_politicos,Financiamento e benefícios fiscais dos partidos políticos,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que tratam da regulação, redução ou eliminação de benefícios fiscais e subvenções públicas atribuídas a partidos políticos e campanhas eleitorais.",,48
taxonomy_v2,subtopic,orcamento_do_estado_e_disposicoes_gerais,Orçamento do Estado e disposições gerais,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas referentes ao Orçamento do Estado, apresentadas pela Presidência do Conselho de Ministros, com disposições preliminares e gerais.",,99
taxonomy_v2,subtopic,pagamentos_em_atraso_e_compromissos_do_estado,Pagamentos em atraso e compromissos do Estado,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que abordam a problemática dos atrasos nos pagamentos do Estado a fornecedores e outras entidades, incluindo revogação da legislação relacionada.",,90
taxonomy_v2,subtopic,reducao_da_taxa_de_iva_sobre_eletricidade_e_gas,Redução da Taxa de IVA sobre Eletricidade e Gás,financas_publicas_fiscalidade_e_regulacao_financeira,Propostas que visam reduzir a taxa do Imposto sobre o Valor Acrescentado (IVA) aplicada aos consumos de eletricidade e gás para aliviar o custo para famílias e empresas.,,66
taxonomy_v2,subtopic,reforma_fiscal_e_tributacao_de_empresas,Reforma fiscal e tributação de empresas,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas relacionadas com o código do IRC, benefícios fiscais, tributação de empresas e justiça fiscal.",,96
taxonomy_v2,subtopic,reformas_e_regras_do_sistema_eleitoral_e_voto,Reformas e regras do sistema eleitoral e voto,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas relacionadas com alterações às leis eleitorais, direitos dos eleitores, organização dos círculos eleitorais e processos de votação.",,49
taxonomy_v2,subtopic,reformas_no_iva_e_obrigacoes_fiscais,Reformas no IVA e obrigações fiscais,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que tratam da simplificação, isenção e alterações no imposto sobre o valor acrescentado (IVA) e outras obrigações fiscais para empresas e sujeitos passivos.",,89
taxonomy_v2,subtopic,regulacao_e_controlo_dos_precos_dos_combustiveis,Regulação e Controlo dos Preços dos Combustíveis,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas para fixar preços de referência, combater especulação e reduzir os preços dos combustíveis como gasolina, gasóleo e GPL.",,67
taxonomy_v2,subtopic,regulacao_financeira_europeia_e_criptoativos,Regulação financeira europeia e criptoativos,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas relacionadas com a transposição de diretivas europeias, regulação de criptoativos e resiliência operacional do setor financeiro.",,93
taxonomy_v2,subtopic,supervisao_e_regulacao_do_sistema_financeiro,Supervisão e regulação do sistema financeiro,financas_publicas_fiscalidade_e_regulacao_financeira,"Propostas que tratam da supervisão, transparência e regulação das instituições de crédito e do sistema financeiro em Portugal.",,92
taxonomy_v2,topic,governanca_justica_e_administracao_publica,"Governança, Justiça e Administração Pública",,,5,"31,35,81,83,84,91"
taxonomy_v2,subtopic,cultura_patrimonio_e_direitos_autorais,"Cultura, património e direitos autorais",governanca_justica_e_administracao_publica,"Propostas sobre preservação e valorização do património cultural, direitos de autor, direitos conexos e regulação do setor cultural, audiovisual e rádio.",,"35,81"
taxonomy_v2,subtopic,reformas_e_funcionamento_dos_tribunais_administrativos,Reformas e funcionamento dos tribunais administrativos,governanca_justica_e_administracao_publica,"Propostas relacionadas com a organização, funcionamento e reformas dos tribunais administrativos e fiscais, incluindo celeridade processual e recrutamento de magistrados.",,83
taxonomy_v2,subtopic,regulacao_e_supervisao_do_conselho_de_ministros,Regulação e supervisão do Conselho de Ministros,governanca_justica_e_administracao_publica,"Propostas relacionadas com atos legislativos da Presidência do Conselho de Ministros, incluindo regulação de serviços digitais, cibersegurança e entidades reguladoras.",,91
taxonomy_v2,subtopic,regulacao_e_transparencia_de_cargos_politicos_e_altos_cargos_publicos,Regulação e transparência de cargos políticos e altos cargos públicos,governanca_justica_e_administracao_publica,"Propostas que tratam de impedimentos, incompatibilidades, transparência e exercício de funções por titulares de cargos políticos e altos cargos públicos.",,84
taxonomy_v2,subtopic,valorizacao_e_condicoes_dos_funcionarios_judiciais,Valorização e condições dos funcionários judiciais,governanca_justica_e_administracao_publica,"Iniciativas que recomendam revisão do estatuto, valorização salarial e melhoria das condições de trabalho para oficiais e funcionários de justiça.",,31
taxonomy_v2,topic,habitacao_urbanismo_e_financiamento,"Habitação, Urbanismo e Financiamento",,,6,"87,88,97,100,101"
taxonomy_v2,subtopic,credito_a_habitacao_e_taxas_de_juro,Crédito à habitação e taxas de juro,habitacao_urbanismo_e_financiamento,Propostas relacionadas com medidas de apoio e proteção dos particulares face ao aumento das taxas de juro nos contratos de crédito para aquisição de habitação própria.,,88
taxonomy_v2,subtopic,medidas_fiscais_para_habitacao_propria,Medidas fiscais para habitação própria,habitacao_urbanismo_e_financiamento,"Propostas que tratam de impostos municipais sobre habitação própria, incluindo IMI e IMT, e incentivos para jovens e famílias.",,97
taxonomy_v2,subtopic,mobilizacao_de_patrimonio_publico_para_habitacao,Mobilização de património público para habitação,habitacao_urbanismo_e_financiamento,Propostas que recomendam a utilização de imóveis públicos devolutos para fins habitacionais e combate à especulação imobiliária.,,101
taxonomy_v2,subtopic,regulacao_do_uso_do_solo_e_ordenamento_territorial_urbano,Regulação do uso do solo e ordenamento territorial urbano,habitacao_urbanismo_e_financiamento,"Propostas que tratam da simplificação, alteração e atualização do regime jurídico da urbanização, edificação, licenciamento e reconversão urbanística de áreas e imóveis.",,87
taxonomy_v2,subtopic,regulacao_e_limitacao_de_rendas_de_arrendamento,Regulação e limitação de rendas de arrendamento,habitacao_urbanismo_e_financiamento,"Propostas que visam limitar aumentos de renda, regular contratos de arrendamento e proteger arrendatários.",,100
taxonomy_v2,topic,justica_penal_seguranca_e_protecao_de_vitimas,"Justiça Penal, Segurança e Proteção de Vítimas",,"Propostas sobre crimes, processo penal, segurança interna, violência doméstica, crimes sexuais e proteção de vítimas.",7,"22,23,33,85,86"
taxonomy_v2,subtopic,alteracoes_ao_codigo_de_processo_penal_e_medidas_penais,Alterações ao Código de Processo Penal e medidas penais,justica_penal_seguranca_e_protecao_de_vitimas,"Propostas que visam alterar o Código de Processo Penal para melhorar celeridade, assistência ao arguido, combate à corrupção e outras medidas penais.",,86
taxonomy_v2,subtopic,combate_ao_terrorismo_e_criminalidade_organizada,Combate ao terrorismo e criminalidade organizada,justica_penal_seguranca_e_protecao_de_vitimas,"Propostas relacionadas com investigação, repressão e prevenção de crimes graves, especialmente terrorismo e criminalidade organizada, incluindo troca de informações e registo criminal.",,85
taxonomy_v2,subtopic,combate_a_violencia_domestica_e_discriminacao,Combate à violência doméstica e discriminação,justica_penal_seguranca_e_protecao_de_vitimas,"Propostas relacionadas com a prevenção e combate à violência doméstica, violência sexual baseada em imagens e discriminação contra mulheres e crianças.",,23
taxonomy_v2,subtopic,crimes_sexuais_e_protecao_das_vitimas,Crimes sexuais e proteção das vítimas,justica_penal_seguranca_e_protecao_de_vitimas,"Propostas que tratam da tipificação, punição e proteção das vítimas em crimes sexuais, incluindo alterações ao código penal.",,22
taxonomy_v2,subtopic,protecao_e_apoio_a_vitimas_de_violencia_domestica,Proteção e apoio a vítimas de violência doméstica,justica_penal_seguranca_e_protecao_de_vitimas,"Iniciativas legislativas que reforçam medidas de proteção, apoio e direitos das vítimas de violência doméstica, incluindo crianças e outras vítimas vulneráveis.",,33
taxonomy_v2,topic,nacionalidade_migracao_e_asilo,"Nacionalidade, Migração e Asilo",,"Propostas sobre nacionalidade, autorização de residência, vistos, asilo, imigração e direitos dos cidadãos estrangeiros.",8,25
taxonomy_v2,subtopic,nacionalidade_residencia_e_direitos_dos_estrangeiros,"Nacionalidade, residência e direitos dos estrangeiros",nacionalidade_migracao_e_asilo,"Propostas sobre nacionalidade, vistos, asilo, autorização de residência e direitos de cidadãos estrangeiros em Portugal.",,25
taxonomy_v2,topic,politica_externa_e_relacoes_internacionais,Política Externa e Relações Internacionais,,"Propostas sobre relações internacionais, reconhecimento diplomático, conflitos externos e posições públicas de Portugal em matéria internacional.",9,"3,4"
taxonomy_v2,subtopic,posicoes_e_recomendacoes_sobre_crises_internacionais_e_direitos_humanos,Posições e recomendações sobre crises internacionais e direitos humanos,politica_externa_e_relacoes_internacionais,"Projetos de resolução que recomendam ações governamentais relativas a situações internacionais, com foco em direitos humanos e comunidades portuguesas no exterior.",,3
taxonomy_v2,subtopic,reconhecimento_do_estado_da_palestina_e_apoio_a_paz_no_medio_oriente,Reconhecimento do Estado da Palestina e apoio à paz no Médio Oriente,politica_externa_e_relacoes_internacionais,Propostas que recomendam o reconhecimento do Estado da Palestina e o apoio a soluções pacíficas para o conflito israelo-palestiniano.,,4
taxonomy_v2,topic,saude_publica_cuidados_e_politicas_sociais,"Saúde Pública, Cuidados e Políticas Sociais",,,10,"7,9,10,11,12,24,27,28,30,32,36,37,38,40,41,45,46,50,69,73,76,79,80"
taxonomy_v2,subtopic,acessibilidade_certificacao_e_direitos_das_pessoas_com_deficiencia,"Acessibilidade, certificação e direitos das pessoas com deficiência",saude_publica_cuidados_e_politicas_sociais,"Propostas sobre acessibilidade, certificação de incapacidade, atestados multiuso, prestações sociais e reforço dos direitos das pessoas com deficiência.",,"12,80"
taxonomy_v2,subtopic,acesso_e_gestao_de_medicamentos_e_farmacias,Acesso e gestão de medicamentos e farmácias,saude_publica_cuidados_e_politicas_sociais,"Propostas relacionadas com o acesso, distribuição, crise de abastecimento e regulamentação de medicamentos e farmácias em Portugal.",,27
taxonomy_v2,subtopic,bioetica_ensaios_clinicos_e_morte_medicamente_assistida,"Bioética, ensaios clínicos e morte medicamente assistida",saude_publica_cuidados_e_politicas_sociais,"Propostas sobre morte medicamente assistida, ensaios clínicos e regimes de decisão clínica com implicações bioéticas.",,69
taxonomy_v2,subtopic,comportamentos_aditivos_jogo_e_substancias_controladas,"Comportamentos aditivos, jogo e substâncias controladas",saude_publica_cuidados_e_politicas_sociais,"Propostas sobre jogo, apostas, publicidade associada, jogo patológico e regulação de substâncias controladas ou psicoativas.",,50
taxonomy_v2,subtopic,condicoes_laborais_e_valorizacao_da_carreira_de_enfermagem,Condições laborais e valorização da carreira de enfermagem,saude_publica_cuidados_e_politicas_sociais,"Propostas que tratam do reconhecimento do desgaste rápido, regimes laborais específicos e valorização salarial para enfermeiros.",,30
taxonomy_v2,subtopic,contribuicoes_e_beneficios_dos_subsistemas_de_saude_para_militares,Contribuições e benefícios dos subsistemas de saúde para militares,saude_publica_cuidados_e_politicas_sociais,Propostas que tratam da redução e regulação das contribuições para subsistemas de saúde específicos dos militares e beneficiários das forças armadas.,,73
taxonomy_v2,subtopic,cuidados_continuados_integrados,Cuidados continuados integrados,saude_publica_cuidados_e_politicas_sociais,Propostas que visam o reforço e expansão da Rede Nacional de Cuidados Continuados Integrados e melhoria das respostas sociais associadas.,,10
taxonomy_v2,subtopic,direitos_e_protecao_na_gravidez_e_parto,Direitos e proteção na gravidez e parto,saude_publica_cuidados_e_politicas_sociais,"Propostas focadas na proteção dos direitos das mulheres grávidas, prevenção da violência obstétrica e humanização dos cuidados no parto.",,40
taxonomy_v2,subtopic,doencas_cronicas_e_comparticipacao_de_tratamentos,Doenças crónicas e comparticipação de tratamentos,saude_publica_cuidados_e_politicas_sociais,"Propostas que tratam da diabetes, doença de Crohn, epidermólise bolhosa e regimes de comparticipação para medicamentos e dispositivos médicos.",,28
taxonomy_v2,subtopic,doencas_femininas_e_dadiva_de_sangue,Doenças femininas e dádiva de sangue,saude_publica_cuidados_e_politicas_sociais,"Propostas relacionadas com a endometriose, adenomioma, saúde menstrual e incentivos à dádiva voluntária de sangue.",,24
taxonomy_v2,subtopic,gestao_e_reforco_do_servico_nacional_de_saude_sns,Gestão e reforço do Serviço Nacional de Saúde (SNS),saude_publica_cuidados_e_politicas_sociais,"Iniciativas sobre modelos de gestão, financiamento, infraestruturas, cuidados primários, hospitais, parcerias e reforço do SNS para melhorar a prestação de cuidados de saúde.",,"36,45,46"
taxonomy_v2,subtopic,isencao_e_eliminacao_de_taxas_moderadoras_no_sns,Isenção e eliminação de taxas moderadoras no SNS,saude_publica_cuidados_e_politicas_sociais,"Propostas legislativas focadas na eliminação ou isenção do pagamento de taxas moderadoras para acesso a cuidados de saúde no Serviço Nacional de Saúde, incluindo transporte de doentes.",,32
taxonomy_v2,subtopic,licenca_parental_e_direitos_de_maternidade_paternidade,Licença parental e direitos de maternidade/paternidade,saude_publica_cuidados_e_politicas_sociais,"Projetos que ampliam e garantem direitos relacionados à licença parental, períodos de licença, subsídios e proteção no trabalho para progenitores.",,38
taxonomy_v2,subtopic,pensoes_complementos_e_sustentabilidade_do_sistema_publico,"Pensões, complementos e sustentabilidade do sistema público",saude_publica_cuidados_e_politicas_sociais,"Propostas sobre atualização de pensões, complementos para pensionistas, idade legal de reforma, regimes especiais e sustentabilidade do sistema público de pensões.",,"76,79"
taxonomy_v2,subtopic,politicas_para_pessoas_idosas,Políticas para pessoas idosas,saude_publica_cuidados_e_politicas_sociais,"Propostas dirigidas ao reconhecimento de direitos, proteção e reforço da rede de apoio para pessoas idosas.",,11
taxonomy_v2,subtopic,procriacao_medicamente_assistida_e_infertilidade,Procriação medicamente assistida e infertilidade,saude_publica_cuidados_e_politicas_sociais,"Propostas relacionadas com acesso, regulamentação e apoio a tratamentos de procriação medicamente assistida e infertilidade.",,41
taxonomy_v2,subtopic,rastreio_e_tratamento_do_cancro,Rastreio e tratamento do cancro,saude_publica_cuidados_e_politicas_sociais,"Propostas relacionadas com o alargamento do rastreio precoce e acesso a tratamentos para o cancro, especialmente o cancro da mama.",,9
taxonomy_v2,subtopic,reforco_e_expansao_dos_cuidados_paliativos,Reforço e expansão dos cuidados paliativos,saude_publica_cuidados_e_politicas_sociais,"Projetos que recomendam o desenvolvimento, alargamento e melhoria da rede nacional de cuidados paliativos para doentes oncológicos e em fim de vida.",,7
taxonomy_v2,subtopic,valorizacao_e_condicoes_dos_profissionais_de_saude_no_sns,Valorização e condições dos profissionais de saúde no SNS,saude_publica_cuidados_e_politicas_sociais,"Propostas que visam melhorar a remuneração, estabilidade, dedicação e estatutos dos profissionais do Serviço Nacional de Saúde.",,37
taxonomy_v2,topic,trabalho_direitos_laborais_e_recursos_humanos,"Trabalho, Direitos Laborais e Recursos Humanos",,,11,"5,8,16,18,55,56,72,74,77,78"
taxonomy_v2,subtopic,aumento_do_salario_minimo_nacional,Aumento do salário mínimo nacional,trabalho_direitos_laborais_e_recursos_humanos,Propostas focadas no aumento do salário mínimo nacional e melhoria das remunerações dos trabalhadores.,,8
taxonomy_v2,subtopic,carreira_e_condicoes_dos_investigadores_cientificos,Carreira e condições dos investigadores científicos,trabalho_direitos_laborais_e_recursos_humanos,"Propostas relacionadas com o regime laboral, carreira, bolsas e valorização dos investigadores científicos e do pessoal de apoio à investigação.",,16
taxonomy_v2,subtopic,condicoes_laborais_e_valorizacao_das_forcas_de_seguranca_e_militares,Condições laborais e valorização das forças de segurança e militares,trabalho_direitos_laborais_e_recursos_humanos,"Propostas sobre condições de trabalho, saúde mental, habitação, remuneração, recrutamento e valorização de profissionais das forças de segurança e militares.",,"74,78"
taxonomy_v2,subtopic,direitos_laborais_jornada_ferias_e_descanso,"Direitos laborais: jornada, férias e descanso",trabalho_direitos_laborais_e_recursos_humanos,"Propostas que visam assegurar direitos dos trabalhadores relacionados com horas de trabalho, férias, feriados, descanso e alterações ao Código do Trabalho.",,55
taxonomy_v2,subtopic,igualdade_de_genero_e_combate_a_discriminacao_salarial,Igualdade de género e combate à discriminação salarial,trabalho_direitos_laborais_e_recursos_humanos,"Propostas focadas na promoção da igualdade entre mulheres e homens, especialmente na remuneração e representação em órgãos de gestão.",,18
taxonomy_v2,subtopic,reformas_do_codigo_do_trabalho_e_direitos_laborais,Reformas do Código do Trabalho e Direitos Laborais,trabalho_direitos_laborais_e_recursos_humanos,"Propostas focadas na alteração do Código do Trabalho para reforçar direitos dos trabalhadores, combater precariedade e regular contratos e despedimentos.",,56
taxonomy_v2,subtopic,regulacao_e_organizacao_das_associacoes_profissionais,Regulação e organização das associações profissionais,trabalho_direitos_laborais_e_recursos_humanos,"Propostas relacionadas com o regime jurídico, organização e funcionamento das associações públicas profissionais e a regulação do exercício profissional.",,72
taxonomy_v2,subtopic,suplementos_e_regime_de_pensoes_para_forcas_de_seguranca,Suplementos e regime de pensões para forças de segurança,trabalho_direitos_laborais_e_recursos_humanos,"Propostas que asseguram aumento de suplementos por serviço e risco, e revisão do regime de pensões para pessoal das forças e serviços de segurança.",,77
taxonomy_v2,subtopic,valorizacao_e_direitos_dos_bombeiros_e_sapadores,Valorização e direitos dos bombeiros e sapadores,trabalho_direitos_laborais_e_recursos_humanos,"Projetos que visam reconhecer o estatuto profissional dos bombeiros, incluindo direitos, condições de trabalho, e regimes especiais de aposentadoria.",,5
taxonomy_v2,topic,transportes_e_mobilidade,Transportes e Mobilidade,,,12,"43,44,51,52,53,58,62,63"
taxonomy_v2,subtopic,desenvolvimento_e_investimento_na_rede_ferroviaria_nacional,Desenvolvimento e Investimento na Rede Ferroviária Nacional,transportes_e_mobilidade,"Propostas que recomendam a priorização, revisão e investimento no plano ferroviário nacional, incluindo linhas de alta velocidade e ligações regionais.",,63
taxonomy_v2,subtopic,eliminacao_e_reducao_de_portagens_nas_autoestradas_do_interior,Eliminação e redução de portagens nas autoestradas do interior,transportes_e_mobilidade,"Propostas que defendem a eliminação ou redução gradual das portagens em autoestradas, especialmente nas regiões do interior do país.",,44
taxonomy_v2,subtopic,incentivos_e_melhorias_nos_transportes_publicos,Incentivos e melhorias nos transportes públicos,transportes_e_mobilidade,"Propostas que recomendam medidas para promoção, integração tarifária, valorização e expansão dos transportes públicos e coletivos, incluindo passes nacionais.",,53
taxonomy_v2,subtopic,mobilidade_eletrica_e_legislacao_veicular,Mobilidade elétrica e legislação veicular,transportes_e_mobilidade,"Propostas relacionadas com veículos elétricos, mobilidade elétrica, isenções fiscais, estacionamento e alterações ao código da estrada.",,52
taxonomy_v2,subtopic,regulacao_do_transporte_individual_remunerado_tvde,Regulação do transporte individual remunerado (TVDE),transportes_e_mobilidade,"Propostas que tratam do regime jurídico, atividade, operadores e plataformas associadas ao transporte individual remunerado de passageiros em veículos descaracterizados.",,51
